geometry,ident,type,name,latitude_d,longitude,elevation,continent,iso_countr,iso_region,municipali,scheduled,gps_code,iata_code,status,objectid
POINT (128.4019928 27.04400063),RORY,medium_airport,Yoron Airport,27.04400063,128.4019928,52,Asia,JP,JP-46,Yoronjima,yes,RORY,RNJ,,792
POINT (122.9779968 24.46689987),ROYN,medium_airport,Yonaguni Airport,24.46689987,122.9779968,70,Asia,JP,JP-47,,yes,ROYN,OGN,,793
POINT (138.1877518 34.79604347),rjns,large_airport,Mt. Fuji Shizuoka Airport,34.79604347,138.1877518,433,Asia,JP,JP-22,Makinohara / Shimada,yes,RJNS,FSZ,,794
POINT (139.5279999 35.67169952),RJTF,medium_airport,Chofu Airport,35.67169952,139.5279999,141,Asia,JP,JP-13,Tokyo,yes,RJTF,,,795
POINT (140.4149933 36.18109894),RJAH,medium_airport,Hyakuri Airport,36.18109894,140.4149933,105,Asia,JP,JP-08,Omitama,yes,RJAH,IBR,,796
POINT (135.2440033 34.4272995),RJBB,large_airport,Kansai International Airport,34.4272995,135.2440033,26,Asia,JP,JP-27,Osaka,yes,RJBB,KIX,Restrictions,797
POINT (72.977798 40.944401),KG-0001,medium_airport,Jalal-Abad Airport,40.944401,72.977798,2591,Asia,KG,KG-J,Jalal-Abad,yes,UAFJ,,,798
POINT (76.713046 42.58792),UAFL,medium_airport,Issyk-Kul International Airport,42.58792,76.713046,5425,Asia,KG,KG-Y,Tamchy,yes,UCFL,IKU,,799
POINT (74.4776001 43.06129837),UAFM,large_airport,Manas International Airport,43.06129837,74.4776001,2058,Asia,KG,KG-C,Bishkek,yes,UCFM,FRU,,800
POINT (72.79329681 40.60900116),UAFO,medium_airport,Osh Airport,40.60900116,72.79329681,2927,Asia,KG,KG-O,Osh,yes,UCFO,OSS,,801
POINT (70.83784 40.042899),UA30,medium_airport,Batken Airport,40.042899,70.83784,3517,Asia,KG,KG-B,Batken,yes,UAFB,,,802
POINT (103.223999 13.09560013),VDBG,medium_airport,Battambang Airport,13.09560013,103.223999,59,Asia,KH,KH-2,Battambang,yes,VDBG,BBM,screening,803
POINT (104.8440018 11.54660034),VDPP,large_airport,Phnom Penh International Airport,11.54660034,104.8440018,40,Asia,KH,KH-8,Phnom Penh,yes,VDPP,PNH,screening,804
POINT (103.8130035 13.41069984),VDSR,large_airport,Siem Reap International Airport,13.41069984,103.8130035,60,Asia,KH,KH-17,Siem Reap,yes,VDSR,REP,screening,805
POINT (106.0149994 13.53190041),VDST,medium_airport,Stung Treng Airport,13.53190041,106.0149994,203,Asia,KH,KH-19,Stung Treng,yes,VDST,TNX,screening,806
POINT (129.647555 41.428538),KP-0032,medium_airport,Orang Airport,41.428538,129.647555,12,Asia,KP,KP-09,Hoemun-ri,yes,ZKHM,RGO,suspended,807
POINT (125.669998 39.224098),ZKPY,medium_airport,Pyongyang Sunan International Airport,39.224098,125.669998,117,Asia,KP,KP-01,Pyongyang,yes,ZKPY,FNJ,suspended,808
POINT (127.473999 39.745201),ZKSD,medium_airport,Sondok Airport,39.745201,127.473999,12,Asia,KP,KP-08,S?nd?ng-ni,yes,ZKSD,DSO,suspended,809
POINT (127.486 39.166801),ZKWS,medium_airport,Wonsan Kalma International Airport,39.166801,127.486,7,Asia,KP,KP-07,Wonsan,yes,ZKWS,WOS,suspended,810
POINT (126.805444 35.123173),RKJJ,medium_airport,Gwangju Airport,35.123173,126.805444,39,Asia,KR,KR-29,Gwangju,yes,RKJJ,KWJ,,811
POINT (126.6159973 35.90380096),RKJK,large_airport,Kunsan Air Base,35.90380096,126.6159973,29,Asia,KR,KR-45,Kunsan,yes,RKJK,KUV,,812
POINT (127.6169968 34.84230042),RKJY,medium_airport,Yeosu Airport,34.84230042,127.6169968,53,Asia,KR,KR-46,Yeosu,yes,RKJY,RSU,,813
POINT (127.963858 37.441201),RKNW,medium_airport,Wonju/Hoengseong Air Base (K-38/K-46),37.441201,127.963858,329,Asia,KR,KR-42,Wonju,yes,RKNW,WJU,,814
POINT (128.669006 38.061298),RKNY,medium_airport,Yangyang International Airport,38.061298,128.669006,241,Asia,KR,KR-42,Gonghang-ro,yes,RKNY,YNY,Restrictions,815
POINT (126.4929962 33.51129913),RKPC,large_airport,Jeju International Airport,33.51129913,126.4929962,118,Asia,KR,KR-49,Jeju City,yes,RKPC,CJU,Restrictions,816
POINT (128.9380035 35.17950058),RKPK,large_airport,Gimhae International Airport,35.17950058,128.9380035,6,Asia,KR,KR-26,Busan,yes,RKPK,PUS,Restrictions,817
POINT (128.071747 35.088591),RKPS,medium_airport,Sacheon Air Base/Airport,35.088591,128.071747,25,Asia,KR,KR-48,Sacheon,yes,RKPS,HIN,,818
POINT (129.352005 35.59349823),RKPU,medium_airport,Ulsan Airport,35.59349823,129.352005,45,Asia,KR,KR-31,Ulsan,yes,RKPU,USN,,819
POINT (126.4509964 37.46910095),RKSI,large_airport,Incheon International Airport,37.46910095,126.4509964,23,Asia,KR,KR-28,Seoul,yes,RKSI,ICN,Restrictions,820
POINT (126.7910004 37.55830002),RKSS,large_airport,Gimpo International Airport,37.55830002,126.7910004,58,Asia,KR,KR-11,Seoul,yes,RKSS,GMP,Restrictions,821
